Tract ID,County,Estimate!!Total,Year
3031.07,Contra Costa,7436,2023
3032.02,Contra Costa,8593,2023
3032.04,Contra Costa,5027,2023
3032.06,Contra Costa,5364,2023
3032.07,Contra Costa,8913,2023
3032.08,Contra Costa,4318,2023
3032.09,Contra Costa,5271,2023
3032.10,Contra Costa,3853,2023
3032.11,Contra Costa,4241,2023
3040.01,Contra Costa,5954,2023
3040.02,Contra Costa,1981,2023
3040.03,Contra Costa,3424,2023
3040.04,Contra Costa,3462,2023
3040.06,Contra Costa,3598,2023
3040.07,Contra Costa,4969,2023
3050,Contra Costa,7892,2023
3060.02,Contra Costa,4408,2023
3060.03,Contra Costa,5128,2023
3060.04,Contra Costa,3377,2023
3071.01,Contra Costa,4609,2023
3071.02,Contra Costa,5834,2023
3072.01,Contra Costa,4113,2023
3072.02,Contra Costa,4276,2023
3072.04,Contra Costa,4626,2023
3072.05,Contra Costa,7387,2023
3080.01,Contra Costa,7970,2023
3080.02,Contra Costa,4637,2023
3090,Contra Costa,3663,2023
3100,Contra Costa,6323,2023
3110,Contra Costa,5469,2023
3120,Contra Costa,2759,2023
3131.02,Contra Costa,4793,2023
3131.04,Contra Costa,2990,2023
3131.05,Contra Costa,5790,2023
3131.06,Contra Costa,7006,2023
3131.07,Contra Costa,2855,2023
3132.03,Contra Costa,3277,2023
3132.04,Contra Costa,5702,2023
3132.05,Contra Costa,2069,2023
3132.06,Contra Costa,6357,2023
3141.02,Contra Costa,6584,2023
3141.03,Contra Costa,5606,2023
3141.05,Contra Costa,3731,2023
3141.06,Contra Costa,4169,2023
3142,Contra Costa,7179,2023
3150,Contra Costa,3652,2023
3160,Contra Costa,1226,2023
3170,Contra Costa,2128,2023
3180,Contra Costa,3364,2023
3190.01,Contra Costa,4228,2023
3190.02,Contra Costa,3859,2023
3200.01,Contra Costa,3272,2023
3200.03,Contra Costa,2951,2023
3200.04,Contra Costa,6649,2023
3211.01,Contra Costa,7183,2023
3211.02,Contra Costa,6013,2023
3211.03,Contra Costa,4387,2023
3212,Contra Costa,5698,2023
3220,Contra Costa,6663,2023
3230,Contra Costa,4519,2023
3240.02,Contra Costa,4889,2023
3240.03,Contra Costa,3370,2023
3240.04,Contra Costa,2400,2023
3250,Contra Costa,6201,2023
3260,Contra Costa,3188,2023
3270.01,Contra Costa,3544,2023
3270.02,Contra Costa,4001,2023
3280,Contra Costa,2456,2023
3290,Contra Costa,6282,2023
3300,Contra Costa,5529,2023
3310,Contra Costa,7814,2023
3320,Contra Costa,8153,2023
3331.01,Contra Costa,4114,2023
3331.02,Contra Costa,3947,2023
3332,Contra Costa,5847,2023
3340.01,Contra Costa,4004,2023
3340.06,Contra Costa,4716,2023
3340.07,Contra Costa,3432,2023
3340.08,Contra Costa,3964,2023
3342,Contra Costa,7628,2023
3350,Contra Costa,3669,2023
3361.01,Contra Costa,4210,2023
3361.03,Contra Costa,4987,2023
3361.04,Contra Costa,2441,2023
3362.01,Contra Costa,3835,2023
3362.02,Contra Costa,5569,2023
3371,Contra Costa,3176,2023
3372.01,Contra Costa,2961,2023
3372.02,Contra Costa,5308,2023
3373,Contra Costa,6152,2023
3381.01,Contra Costa,5189,2023
3381.02,Contra Costa,3219,2023
3382.01,Contra Costa,4061,2023
3382.03,Contra Costa,5790,2023
3382.04,Contra Costa,6436,2023
3383.01,Contra Costa,2922,2023
3383.02,Contra Costa,5305,2023
3390.01,Contra Costa,3678,2023
3390.03,Contra Costa,4409,2023
3390.04,Contra Costa,3321,2023
3400.01,Contra Costa,6625,2023
3400.03,Contra Costa,3481,2023
3400.04,Contra Costa,4116,2023
3410,Contra Costa,4639,2023
3430.01,Contra Costa,5900,2023
3430.02,Contra Costa,4594,2023
3430.03,Contra Costa,3757,2023
3451.01,Contra Costa,6762,2023
3451.02,Contra Costa,4459,2023
3451.03,Contra Costa,5417,2023
3451.05,Contra Costa,6166,2023
3451.11,Contra Costa,5769,2023
3451.12,Contra Costa,8154,2023
3451.13,Contra Costa,4785,2023
3451.14,Contra Costa,6664,2023
3451.15,Contra Costa,6491,2023
3451.16,Contra Costa,2750,2023
3451.17,Contra Costa,4557,2023
3451.18,Contra Costa,3498,2023
3452.03,Contra Costa,7306,2023
3452.04,Contra Costa,3102,2023
3452.05,Contra Costa,5589,2023
3452.06,Contra Costa,3555,2023
3461.01,Contra Costa,3315,2023
3461.02,Contra Costa,5470,2023
3462.03,Contra Costa,4110,2023
3462.04,Contra Costa,7751,2023
3462.05,Contra Costa,4110,2023
3462.06,Contra Costa,3393,2023
3470,Contra Costa,7241,2023
3480,Contra Costa,4795,2023
3490,Contra Costa,5269,2023
3500,Contra Costa,5759,2023
3511.01,Contra Costa,2595,2023
3511.03,Contra Costa,1974,2023
3511.04,Contra Costa,1635,2023
3511.05,Contra Costa,1827,2023
3512,Contra Costa,5463,2023
3521.01,Contra Costa,3572,2023
3521.02,Contra Costa,5221,2023
3522.01,Contra Costa,6100,2023
3522.02,Contra Costa,2546,2023
3530.01,Contra Costa,4645,2023
3530.02,Contra Costa,4405,2023
3540.01,Contra Costa,2212,2023
3540.02,Contra Costa,6967,2023
3551.07,Contra Costa,5497,2023
3551.09,Contra Costa,7795,2023
3551.10,Contra Costa,4139,2023
3551.11,Contra Costa,6647,2023
3551.12,Contra Costa,5736,2023
3551.13,Contra Costa,5460,2023
3551.15,Contra Costa,10162,2023
3551.18,Contra Costa,3764,2023
3551.19,Contra Costa,5107,2023
3551.20,Contra Costa,3959,2023
3551.21,Contra Costa,6245,2023
3551.22,Contra Costa,5433,2023
3551.23,Contra Costa,3062,2023
3551.24,Contra Costa,4573,2023
3551.25,Contra Costa,4079,2023
3551.26,Contra Costa,5884,2023
3552.01,Contra Costa,8458,2023
3552.02,Contra Costa,3663,2023
3553.02,Contra Costa,3285,2023
3553.06,Contra Costa,4675,2023
3553.07,Contra Costa,4501,2023
3553.08,Contra Costa,3502,2023
3553.09,Contra Costa,4957,2023
3553.10,Contra Costa,2791,2023
3560.01,Contra Costa,3699,2023
3560.02,Contra Costa,5607,2023
3570,Contra Costa,3377,2023
3580,Contra Costa,5676,2023
3591.02,Contra Costa,5150,2023
3591.03,Contra Costa,5410,2023
3591.04,Contra Costa,2623,2023
3591.05,Contra Costa,5148,2023
3592.02,Contra Costa,6703,2023
3592.03,Contra Costa,7044,2023
3592.04,Contra Costa,4537,2023
3601.01,Contra Costa,3843,2023
3601.02,Contra Costa,5269,2023
3602,Contra Costa,5559,2023
3610,Contra Costa,4946,2023
3620,Contra Costa,2887,2023
3630,Contra Costa,7572,2023
3640.02,Contra Costa,5317,2023
3650.02,Contra Costa,5436,2023
3650.03,Contra Costa,5098,2023
3660.01,Contra Costa,4580,2023
3660.02,Contra Costa,6443,2023
3671,Contra Costa,5778,2023
3672,Contra Costa,5886,2023
3680.01,Contra Costa,5121,2023
3680.02,Contra Costa,4274,2023
3690.01,Contra Costa,7260,2023
3690.02,Contra Costa,2821,2023
3700,Contra Costa,2987,2023
3710,Contra Costa,5883,2023
3720,Contra Costa,7691,2023
3730,Contra Costa,4613,2023
3740,Contra Costa,4724,2023
3750,Contra Costa,5506,2023
3760,Contra Costa,6742,2023
3770,Contra Costa,7729,2023
3780,Contra Costa,4085,2023
3790,Contra Costa,8122,2023
3800.01,Contra Costa,3107,2023
3800.02,Contra Costa,3358,2023
3810,Contra Costa,6722,2023
3820,Contra Costa,8589,2023
3830,Contra Costa,5508,2023
3840,Contra Costa,4136,2023
3851,Contra Costa,2963,2023
3852,Contra Costa,1374,2023
3860,Contra Costa,3688,2023
3870,Contra Costa,3000,2023
3880,Contra Costa,2882,2023
3891,Contra Costa,2361,2023
3892,Contra Costa,1761,2023
3901,Contra Costa,2279,2023
3902,Contra Costa,1856,2023
3910,Contra Costa,2599,2023
3920,Contra Costa,2495,2023
3922.01,Contra Costa,4772,2023
3922.02,Contra Costa,4613,2023
3923,Contra Costa,3809,2023
9800,Contra Costa,508,2023
9900,Contra Costa,0,2023
1011,Marin,2459,2023
1012,Marin,2756,2023
1021,Marin,2160,2023
1022.02,Marin,5291,2023
1022.03,Marin,5598,2023
1031,Marin,7096,2023
1032,Marin,6489,2023
1041.02,Marin,5609,2023
1041.03,Marin,2831,2023
1041.04,Marin,5092,2023
1042,Marin,5595,2023
1043,Marin,1681,2023
1050.01,Marin,4415,2023
1050.02,Marin,2922,2023
1060.01,Marin,5585,2023
1060.02,Marin,5632,2023
1070,Marin,6334,2023
1081,Marin,6525,2023
1082.01,Marin,2459,2023
1082.02,Marin,4659,2023
1090.01,Marin,4044,2023
1090.02,Marin,4276,2023
1101,Marin,5463,2023
1102,Marin,5094,2023
1110.01,Marin,746,2023
1110.02,Marin,4425,2023
1121,Marin,4452,2023
1122.02,Marin,6088,2023
1122.03,Marin,2260,2023
1122.04,Marin,4395,2023
1130,Marin,4009,2023
1141,Marin,5034,2023
1142,Marin,3134,2023
1150,Marin,7781,2023
1160,Marin,3079,2023
1170,Marin,4541,2023
1181,Marin,2626,2023
1191,Marin,4761,2023
1192.01,Marin,3513,2023
1192.02,Marin,3878,2023
1200.01,Marin,1554,2023
1200.02,Marin,4839,2023
1211,Marin,5487,2023
1212,Marin,6712,2023
1220,Marin,1581,2023
1230,Marin,2400,2023
1241,Marin,5137,2023
1242,Marin,5596,2023
1250,Marin,4648,2023
1261,Marin,6040,2023
1262,Marin,4367,2023
1270,Marin,4538,2023
1281,Marin,7528,2023
1282,Marin,5335,2023
1290,Marin,2918,2023
1302.01,Marin,3376,2023
